label	sampleid	d	arrival	iforderpv_24h	decisionhabit_user	historyvisit_7ordernum	historyvisit_totalordernum	hotelcr	ordercanceledprecent	landhalfhours	ordercanncelednum	commentnums	starprefer	novoters	consuming_capacity	historyvisit_avghotelnum	cancelrate	historyvisit_visit_detailpagenum	delta_price1	price_sensitive	hoteluv	businessrate_pre	ordernum_oneyear	cr_pre	avgprice	lowestprice	firstorder_bu	customereval_pre2	delta_price2	commentnums_pre	customer_value_profit	commentnums_pre2	cancelrate_pre	novoters_pre2	novoters_pre	ctrip_profits	deltaprice_pre2_t1	lowestprice_pre	uv_pre	uv_pre2	lowestprice_pre2	lasthtlordergap	businessrate_pre2	cityuvs	cityorders	lastpvgap	cr	sid	visitnum_oneyear	h
0	24636	2016-05-18	2016-05-18	0	NULL	NULL	NULL	1.04	NULL	22	NULL	1089	NULL	1933	NULL	NULL	1261	NULL	NULL	NULL	102.607	0.25	NULL	1.03	NULL	49.0	NULL	3.2	NULL	724	NULL	844.0	0.03	1335.0	1249	NULL	29.0	46.0	58.027	74.956	615.0	NULL	0.29	12.88	3.147	NULL	NULL	7	NULL	12
1	24637	2016-05-18	2016-05-18	0	NULL	NULL	NULL	1.06	NULL	0	NULL	5612	NULL	6852	NULL	NULL	3205	NULL	NULL	NULL	278.373	0.51	NULL	1.07	NULL	619.0	NULL	4.9	NULL	5610	NULL	3789.0	0.21	5430.0	7829	NULL	-56.0	111.0	249.347	224.92	513.0	NULL	0.53	17.933	4.913	NULL	NULL	33	NULL	14
0	24641	2016-05-18	2016-05-19	0	NULL	NULL	NULL	1.05	NULL	3	NULL	256	NULL	367	NULL	NULL	194	NULL	NULL	NULL	16.133	0.61	NULL	1.12	NULL	312.0	NULL	3.9	NULL	4721	NULL	4341.0	0.52	5353.0	7324	NULL	8.0	413.0	133.093	112.063	382.0	NULL	0.6	3.993	0.76	NULL	NULL	10	NULL	19
0	24642	2016-05-18	2016-05-18	0	NULL	NULL	NULL	1.01	NULL	2	NULL	NULL	NULL	NULL	NULL	NULL	3	NULL	NULL	NULL	1.78	NULL	NULL	1.01	NULL	198.0	NULL	2.1	NULL	41	NULL	529.0	0.53	1004.0	81	NULL	-7.0	188.0	4.6	58.844	203.0	NULL	0.18	3.22	0.66	NULL	NULL	8	NULL	16
1	24644	2016-05-18	2016-05-19	0	NULL	NULL	NULL	1.0	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.073	NULL	NULL	1.03	NULL	NULL	NULL	1.5	NULL	NULL	NULL	NULL	1.0	1.0	NULL	NULL	-5.0	NULL	0.213	0.157	84.0	NULL	NULL	0.013	NULL	NULL	NULL	1	NULL	21
1	24645	2016-05-18	2016-05-20	0	NULL	NULL	NULL	1.02	NULL	0	NULL	15	NULL	30	NULL	NULL	54	NULL	NULL	NULL	10.153	NULL	NULL	1.01	NULL	130.0	NULL	0.0	NULL	49	NULL	49.0	0.78	51.0	51	NULL	NULL	408.0	4.507	4.507	408.0	NULL	NULL	2.88	0.427	NULL	NULL	1	NULL	21
0	24647	2016-05-18	2016-05-25	0	NULL	NULL	NULL	1.12	NULL	0	NULL	2578	NULL	4521	NULL	NULL	2883	NULL	NULL	NULL	99.287	NULL	NULL	1.0	NULL	678.0	NULL	0.0	NULL	NULL	NULL	NULL	0.38	NULL	NULL	NULL	0.0	145.0	5.547	5.547	145.0	NULL	NULL	4.427	0.493	NULL	NULL	1	NULL	22
0	24650	2016-05-18	2016-05-20	0	3.0	NULL	21	1.11	0.79	0	395	NULL	75.4	8	39.0	3.0	35	NULL	135.0	62.0	1.373	0.49	21	1.09	363.0	80.0	13.0	2.3	159.0	137	4.956	472.0	0.62	625.0	186	3.44	-4.0	228.0	8.66	25.985	204.0	10475	0.53	12.713	1.987	7566	1.5	23	1265	17
0	24652	2016-05-18	2016-05-19	0	13.0	NULL	NULL	1.08	NULL	0	NULL	2572	NULL	2987	NULL	13.0	2887	27	NULL	NULL	163.88	0.41	NULL	1.09	NULL	100.0	NULL	2.3	NULL	1688	NULL	1688.0	0.39	1081.0	2147	NULL	0.0	128.0	127.087	68.11	99.0	NULL	0.41	5.393	0.86	15	1.0	20	596	20
0	24653	2016-05-18	2016-06-08	1	2.0	NULL	7	1.07	0.86	47	6	NULL	70.0	88	26.0	3.2	1303	59	197.0	8.0	67.1	0.51	7	1.08	307.0	208.0	3.0	1.7	116.0	1573	1.679	709.0	0.43	1031.0	2945	1.413	NULL	110.0	90.26	56.131	191.0	18873	0.52	3.093	0.287	288	1.0	31	21926	7
